entity,code,year,bev_share_ev_cars
Australia,AUS,2011,100
Australia,AUS,2012,68
Australia,AUS,2013,65.51724
Australia,AUS,2014,28.0303
Australia,AUS,2015,43.18182
Australia,AUS,2016,48.90511
Australia,AUS,2017,52.17391
Australia,AUS,2018,50
Australia,AUS,2019,68.47826
Australia,AUS,2020,75.36232
Australia,AUS,2021,83.33333
Australia,AUS,2022,84.8329
Australia,AUS,2023,88.77551
Australia,AUS,2024,79.82456
Australia,AUS,2025,75.18797
Austria,AUT,2013,100
Austria,AUT,2014,100
Austria,AUT,2015,60.71429
Austria,AUT,2016,76
Austria,AUT,2017,76.05634
Austria,AUT,2018,74.72527
Austria,AUT,2019,80.86957
Austria,AUT,2020,67.79661
Austria,AUT,2021,68.75
Austria,AUT,2022,72.34043
Austria,AUT,2023,73.84615
Austria,AUT,2024,72.58065
Austria,AUT,2025,67.77778
Belgium,BEL,2010,85.71429
Belgium,BEL,2011,94.59459
Belgium,BEL,2012,62.63736
Belgium,BEL,2013,89.28571
Belgium,BEL,2014,66.66667
Belgium,BEL,2015,35.89744
Belgium,BEL,2016,22.82609
Belgium,BEL,2017,18.36735
Belgium,BEL,2018,27.27273
Belgium,BEL,2019,49.71751
Belgium,BEL,2020,31.91489
Belgium,BEL,2021,32.39437
Belgium,BEL,2022,39.17526
Belgium,BEL,2023,48.18653
Belgium,BEL,2024,65.98985
Belgium,BEL,2025,77.77778
Brazil,BRA,2010,100
Brazil,BRA,2011,100
Brazil,BRA,2012,55
Brazil,BRA,2013,54.16667
Brazil,BRA,2014,100
Brazil,BRA,2015,68.53933
Brazil,BRA,2016,73.44633
Brazil,BRA,2017,32.55814
Brazil,BRA,2018,43.90244
Brazil,BRA,2019,27.83505
Brazil,BRA,2020,30.76923
Brazil,BRA,2021,20.86331
Brazil,BRA,2022,45.94595
Brazil,BRA,2023,36.53846
Brazil,BRA,2024,49.20635
Brazil,BRA,2025,44.38202
Bulgaria,BGR,2015,100
Bulgaria,BGR,2016,38.46154
Bulgaria,BGR,2017,64.15094
Bulgaria,BGR,2018,87.96296
Bulgaria,BGR,2019,76.27119
Bulgaria,BGR,2020,77.34807
Bulgaria,BGR,2021,78.18182
Bulgaria,BGR,2022,87.7193
Bulgaria,BGR,2023,83.33333
Bulgaria,BGR,2024,78.34101
Bulgaria,BGR,2025,80.80808
Cambodia,KHM,2021,100
Cambodia,KHM,2022,100
Cambodia,KHM,2023,100
Cambodia,KHM,2024,98.65471
Cambodia,KHM,2025,97.38717
Canada,CAN,2011,42.30769
Canada,CAN,2012,32.29167
Canada,CAN,2013,51.6129
Canada,CAN,2014,54.90196
Canada,CAN,2015,64.70588
Canada,CAN,2016,44.82759
Canada,CAN,2017,52.09581
Canada,CAN,2018,52.27273
Canada,CAN,2019,62.7451
Canada,CAN,2020,72.54902
Canada,CAN,2021,67.81609
Canada,CAN,2022,79.13043
Canada,CAN,2023,76.02339
Canada,CAN,2024,75.39683
Canada,CAN,2025,65.47619
Chile,CHL,2011,100
Chile,CHL,2012,100
Chile,CHL,2013,100
Chile,CHL,2014,26.31579
Chile,CHL,2015,36.11111
Chile,CHL,2016,70.96774
Chile,CHL,2017,88.88889
Chile,CHL,2018,65.65657
Chile,CHL,2019,72.13115
Chile,CHL,2020,66.94561
Chile,CHL,2021,65.11628
Chile,CHL,2022,73.44633
Chile,CHL,2023,75.82938
Chile,CHL,2024,80.35714
Chile,CHL,2025,63.21839
China,CHN,2010,76.38889
China,CHN,2011,93.75
China,CHN,2012,97.36308
China,CHN,2013,95.35919
China,CHN,2014,67.56757
China,CHN,2015,71.09005
China,CHN,2016,76.69617
China,CHN,2017,81.03448
China,CHN,2018,75.22936
China,CHN,2019,78.50467
China,CHN,2020,80.86957
China,CHN,2021,83.07692
China,CHN,2022,75
China,CHN,2023,67.07317
China,CHN,2024,56.63717
China,CHN,2025,61.65414
Colombia,COL,2011,100
Colombia,COL,2012,100
Colombia,COL,2013,95.65217
Colombia,COL,2014,100
Colombia,COL,2015,92.85714
Colombia,COL,2016,52.83019
Colombia,COL,2017,62.16216
Colombia,COL,2018,43.85965
Colombia,COL,2019,62.80992
Colombia,COL,2020,58.77193
Colombia,COL,2021,33.07087
Colombia,COL,2022,44.18605
Colombia,COL,2023,64.28571
Colombia,COL,2024,83.96947
Colombia,COL,2025,87.5576
Costa Rica,CRI,2016,20.56075
Costa Rica,CRI,2017,41.17647
Costa Rica,CRI,2018,80.98592
Costa Rica,CRI,2019,91.86352
Costa Rica,CRI,2020,97.35974
Costa Rica,CRI,2021,88.49558
Costa Rica,CRI,2022,97.70763
Costa Rica,CRI,2023,99.41613
Costa Rica,CRI,2024,99.43952
Costa Rica,CRI,2025,98.44135
Croatia,HRV,2019,73.92996
Croatia,HRV,2020,79.10448
Croatia,HRV,2021,77.77778
Croatia,HRV,2022,62.5
Croatia,HRV,2023,61.77606
Croatia,HRV,2024,56.25
Croatia,HRV,2025,34.21053
Cyprus,CYP,2019,100
Cyprus,CYP,2020,33.6
Cyprus,CYP,2021,46.15385
Cyprus,CYP,2022,63.49206
Cyprus,CYP,2023,60.76923
Cyprus,CYP,2024,64.51613
Cyprus,CYP,2025,66.0793
Czechia,CZE,2015,100
Czechia,CZE,2016,100
Czechia,CZE,2017,100
Czechia,CZE,2018,71.42857
Czechia,CZE,2019,61.78862
Czechia,CZE,2020,62.26415
Czechia,CZE,2021,42.1875
Czechia,CZE,2022,52
Czechia,CZE,2023,55.83333
Czechia,CZE,2024,69.62025
Czechia,CZE,2025,56
Denmark,DNK,2011,99.52607
Denmark,DNK,2012,97.60956
Denmark,DNK,2013,98.03922
Denmark,DNK,2014,94.67456
Denmark,DNK,2015,91.10169
Denmark,DNK,2016,69.51872
Denmark,DNK,2017,53.38346
Denmark,DNK,2018,32.6087
Denmark,DNK,2019,58.51064
Denmark,DNK,2020,43.75
Denmark,DNK,2021,38.46154
Denmark,DNK,2022,54.38596
Denmark,DNK,2023,78.75
Denmark,DNK,2024,92.61186
Denmark,DNK,2025,96.51076
Estonia,EST,2015,100
Estonia,EST,2016,100
Estonia,EST,2017,56.52174
Estonia,EST,2018,72.0339
Estonia,EST,2019,82.47423
Estonia,EST,2020,81.92771
Estonia,EST,2021,66.66667
Estonia,EST,2022,62.93103
Estonia,EST,2023,71.42857
Estonia,EST,2024,50
Estonia,EST,2025,38.32599
Europe,OWID_EUR,2010,93.92265
Europe,OWID_EUR,2011,96.40666
Europe,OWID_EUR,2012,67.37589
Europe,OWID_EUR,2013,55.9322
Europe,OWID_EUR,2014,64.58333
Europe,OWID_EUR,2015,54.93827
Europe,OWID_EUR,2016,39.91416
Europe,OWID_EUR,2017,43.75
Europe,OWID_EUR,2018,51.28205
Europe,OWID_EUR,2019,63.15789
Europe,OWID_EUR,2020,54.34783
Europe,OWID_EUR,2021,52.17391
Europe,OWID_EUR,2022,61.53846
Europe,OWID_EUR,2023,68.75
Europe,OWID_EUR,2024,68.96552
Europe,OWID_EUR,2025,67.44186
European Union (27),OWID_EU27,2010,92.35936
European Union (27),OWID_EU27,2011,95.17426
European Union (27),OWID_EU27,2012,61.53846
European Union (27),OWID_EU27,2013,46.66667
European Union (27),OWID_EU27,2014,57.89474
European Union (27),OWID_EU27,2015,53.26087
European Union (27),OWID_EU27,2016,38.57143
European Union (27),OWID_EU27,2017,45.94595
European Union (27),OWID_EU27,2018,56
European Union (27),OWID_EU27,2019,64.10256
European Union (27),OWID_EU27,2020,51.42857
European Union (27),OWID_EU27,2021,50.56818
European Union (27),OWID_EU27,2022,55.55556
European Union (27),OWID_EU27,2023,66.1157
European Union (27),OWID_EU27,2024,66.0793
European Union (27),OWID_EU27,2025,65.51724
Finland,FIN,2011,100
Finland,FIN,2012,28.1768
Finland,FIN,2013,22.72727
Finland,FIN,2014,40.90909
Finland,FIN,2015,36.36364
Finland,FIN,2016,15.49296
Finland,FIN,2017,16.12903
Finland,FIN,2018,13.73239
Finland,FIN,2019,24.05063
Finland,FIN,2020,24.4186
Finland,FIN,2021,33.33333
Finland,FIN,2022,48.3871
Finland,FIN,2023,62.5
Finland,FIN,2024,59.45946
Finland,FIN,2025,64.28571
France,FRA,2010,69.85294
France,FRA,2011,97.89157
France,FRA,2012,89.62264
France,FRA,2013,91.28205
France,FRA,2014,83.96947
France,FRA,2015,75.63025
France,FRA,2016,75.1634
France,FRA,2017,68.42105
France,FRA,2018,68.75
France,FRA,2019,70.3125
France,FRA,2020,59.45946
France,FRA,2021,54.83871
France,FRA,2022,61.76471
France,FRA,2023,65.95745
France,FRA,2024,66.66667
France,FRA,2025,75.55556
Germany,DEU,2010,100
Germany,DEU,2011,85.36585
Germany,DEU,2012,64.70588
Germany,DEU,2013,76.47059
Germany,DEU,2014,67.40741
Germany,DEU,2015,52.17391
Germany,DEU,2016,45.83333
Germany,DEU,2017,46.2963
Germany,DEU,2018,53.73134
Germany,DEU,2019,58.33333
Germany,DEU,2020,48.71795
Germany,DEU,2021,52.17391
Germany,DEU,2022,56.62651
Germany,DEU,2023,74.28571
Germany,DEU,2024,66.66667
Germany,DEU,2025,63.95349
Greece,GRC,2013,100
Greece,GRC,2014,100
Greece,GRC,2015,61.40351
Greece,GRC,2016,42.26804
Greece,GRC,2017,26.31579
Greece,GRC,2018,29.5302
Greece,GRC,2019,39.58333
Greece,GRC,2020,31.19266
Greece,GRC,2021,31.42857
Greece,GRC,2022,33.73494
Greece,GRC,2023,41.17647
Greece,GRC,2024,51.17647
Greece,GRC,2025,42.58373
Hungary,HUN,2015,88.88889
Hungary,HUN,2016,50
Hungary,HUN,2017,63.02521
Hungary,HUN,2018,62.80193
Hungary,HUN,2019,62.06897
Hungary,HUN,2020,50
Hungary,HUN,2021,50.58824
Hungary,HUN,2022,48.95833
Hungary,HUN,2023,51.32743
Hungary,HUN,2024,60.13986
Hungary,HUN,2025,60.77348
Iceland,ISL,2012,65.38462
Iceland,ISL,2013,77.6699
Iceland,ISL,2014,87.33624
Iceland,ISL,2015,69.64286
Iceland,ISL,2016,32.75862
Iceland,ISL,2017,27.63158
Iceland,ISL,2018,21.19565
Iceland,ISL,2019,35.48387
Iceland,ISL,2020,51.02041
Iceland,ISL,2021,46.15385
Iceland,ISL,2022,57.5
Iceland,ISL,2023,80.64516
Iceland,ISL,2024,62
Iceland,ISL,2025,66.66667
India,IND,2010,100
India,IND,2011,100
India,IND,2012,100
India,IND,2013,100
India,IND,2014,100
India,IND,2015,100
India,IND,2016,100
India,IND,2017,100
India,IND,2018,100
India,IND,2019,98.98108
India,IND,2020,98.63188
India,IND,2021,99.58506
India,IND,2022,99.95211
India,IND,2023,99.67181
India,IND,2024,99.89685
India,IND,2025,99.94121
Indonesia,IDN,2011,100
Indonesia,IDN,2013,100
Indonesia,IDN,2019,31.86813
Indonesia,IDN,2020,93.66391
Indonesia,IDN,2021,95.92641
Indonesia,IDN,2022,99.28694
Indonesia,IDN,2023,99.0676
Indonesia,IDN,2024,99.69481
Indonesia,IDN,2025,95.4033
Ireland,IRL,2015,79.66102
Ireland,IRL,2016,56.52174
Ireland,IRL,2017,65.26316
Ireland,IRL,2018,61.85567
Ireland,IRL,2019,72.34043
Ireland,IRL,2020,61.53846
Ireland,IRL,2021,52.12121
Ireland,IRL,2022,67.51055
Ireland,IRL,2023,69.69697
Ireland,IRL,2024,56.66667
Ireland,IRL,2025,55.81395
Israel,ISR,2011,100
Israel,ISR,2012,99.83361
Israel,ISR,2013,96.43606
Israel,ISR,2014,10.34483
Israel,ISR,2015,4.411765
Israel,ISR,2016,7.352941
Israel,ISR,2017,7.97546
Israel,ISR,2018,3.485255
Israel,ISR,2019,17.89474
Israel,ISR,2020,21.73913
Israel,ISR,2021,45.83333
Israel,ISR,2022,62.7907
Israel,ISR,2023,75.38462
Israel,ISR,2024,90.31414
Israel,ISR,2025,61.11111
Italy,ITA,2010,100
Italy,ITA,2011,100
Italy,ITA,2012,100
Italy,ITA,2013,82.69231
