entity,code,year,ev_stock
Australia,AUS,2011,49
Australia,AUS,2012,300
Australia,AUS,2013,590
Australia,AUS,2014,1880
Australia,AUS,2015,3600
Australia,AUS,2016,5000
Australia,AUS,2017,7300
Australia,AUS,2018,10900
Australia,AUS,2019,20600
Australia,AUS,2020,27000
Australia,AUS,2021,48000
Australia,AUS,2022,88000
Australia,AUS,2023,181000
Australia,AUS,2024,304000
Australia,AUS,2025,434000
Austria,AUT,2010,350
Austria,AUT,2011,990
Austria,AUT,2012,1540
Austria,AUT,2013,2510
Austria,AUT,2014,4180
Austria,AUT,2015,6500
Austria,AUT,2016,11400
Austria,AUT,2017,18900
Austria,AUT,2018,26700
Austria,AUT,2019,38000
Austria,AUT,2020,60000
Austria,AUT,2021,106000
Austria,AUT,2022,152000
Austria,AUT,2023,218000
Austria,AUT,2024,275000
Austria,AUT,2025,355000
Belgium,BEL,2010,70
Belgium,BEL,2011,346
Belgium,BEL,2012,1180
Belgium,BEL,2013,1790
Belgium,BEL,2014,3700
Belgium,BEL,2015,7100
Belgium,BEL,2016,16200
Belgium,BEL,2017,30500
Belgium,BEL,2018,44000
Belgium,BEL,2019,60000
Belgium,BEL,2020,105000
Belgium,BEL,2021,172000
Belgium,BEL,2022,270000
Belgium,BEL,2023,470000
Belgium,BEL,2024,580000
Belgium,BEL,2025,770000
Brazil,BRA,2014,61
Brazil,BRA,2015,148
Brazil,BRA,2016,325
Brazil,BRA,2017,680
Brazil,BRA,2018,1050
Brazil,BRA,2019,2990
Brazil,BRA,2020,5400
Brazil,BRA,2021,19400
Brazil,BRA,2022,39000
Brazil,BRA,2023,92000
Brazil,BRA,2024,214000
Brazil,BRA,2025,390000
Cambodia,KHM,2021,42
Cambodia,KHM,2022,340
Cambodia,KHM,2023,830
Cambodia,KHM,2024,3130
Cambodia,KHM,2025,7340
Canada,CAN,2011,550
Canada,CAN,2012,2430
Canada,CAN,2013,5500
Canada,CAN,2014,10700
Canada,CAN,2015,17600
Canada,CAN,2016,29000
Canada,CAN,2017,47000
Canada,CAN,2018,87000
Canada,CAN,2019,136000
Canada,CAN,2020,212000
Canada,CAN,2021,300000
Canada,CAN,2022,410000
Canada,CAN,2023,550000
Canada,CAN,2024,870000
Canada,CAN,2025,1030000
Chile,CHL,2011,6
Chile,CHL,2012,11
Chile,CHL,2013,16
Chile,CHL,2014,33
Chile,CHL,2015,69
Chile,CHL,2016,100
Chile,CHL,2017,231
Chile,CHL,2018,410
Chile,CHL,2019,650
Chile,CHL,2020,840
Chile,CHL,2021,1410
Chile,CHL,2022,2900
Chile,CHL,2023,5700
Chile,CHL,2024,11300
Chile,CHL,2025,20000
China,CHN,2010,1940
China,CHN,2011,6960
China,CHN,2012,16920
China,CHN,2013,32600
China,CHN,2014,86000
China,CHN,2015,297000
China,CHN,2016,640000
China,CHN,2017,1220000
China,CHN,2018,2240000
China,CHN,2019,3360000
China,CHN,2020,4470000
China,CHN,2021,7700000
China,CHN,2022,13000000
China,CHN,2023,21500000
China,CHN,2024,32000000
China,CHN,2025,44000000
Colombia,COL,2012,27
Colombia,COL,2013,50
Colombia,COL,2014,77
Colombia,COL,2015,124
Colombia,COL,2016,169
Colombia,COL,2017,325
Colombia,COL,2018,890
Colombia,COL,2019,2050
Colombia,COL,2020,3200
Colombia,COL,2021,5800
Colombia,COL,2022,10100
Colombia,COL,2023,15600
Colombia,COL,2024,28500
Colombia,COL,2025,49000
Costa Rica,CRI,2015,12
Costa Rica,CRI,2016,119
Costa Rica,CRI,2017,156
Costa Rica,CRI,2018,430
Costa Rica,CRI,2019,810
Costa Rica,CRI,2020,1420
Costa Rica,CRI,2021,2550
Costa Rica,CRI,2022,5210
Costa Rica,CRI,2023,11440
Costa Rica,CRI,2024,23510
Costa Rica,CRI,2025,34700
Denmark,DNK,2010,79
Denmark,DNK,2011,500
Denmark,DNK,2012,1214
Denmark,DNK,2013,1514
Denmark,DNK,2014,3000
Denmark,DNK,2015,8470
Denmark,DNK,2016,9800
Denmark,DNK,2017,10600
Denmark,DNK,2018,15200
Denmark,DNK,2019,25900
Denmark,DNK,2020,62000
Denmark,DNK,2021,145000
Denmark,DNK,2022,210000
Denmark,DNK,2023,310000
Denmark,DNK,2024,460000
Denmark,DNK,2025,670000
Europe,OWID_EUR,2010,29000
Europe,OWID_EUR,2011,48000
Europe,OWID_EUR,2012,76000
Europe,OWID_EUR,2013,131000
Europe,OWID_EUR,2014,218000
Europe,OWID_EUR,2015,410000
Europe,OWID_EUR,2016,600000
Europe,OWID_EUR,2017,870000
Europe,OWID_EUR,2018,1240000
Europe,OWID_EUR,2019,1750000
Europe,OWID_EUR,2020,3100000
Europe,OWID_EUR,2021,5400000
Europe,OWID_EUR,2022,7800000
Europe,OWID_EUR,2023,11200000
Europe,OWID_EUR,2024,13500000
Europe,OWID_EUR,2025,17100000
European Union (27),OWID_EU27,2010,24100
